"","publication.title","publication.journal","publication.date","publication.doi","publication.tot_cites","publication.abstract","Assigned.to","Food.item_notes","Inputs","Inputs_notes","Production","Production_notes","Storage.Processing","Storage.Processing_notes","Distribution.domestic","Distribution.domestic_notes","International.trade","International.trade_notes","Retail.Markets","Retail.Markets_notes","Consumption","Consumption_notes","Price","Price_notes","Shock.type","Shock.type.notes","Shock.year","Propagation","Study.design","Study.design.type","Primary.outcomes.assessed","Study.location","Study.scale","Study.time.period","Eliminate","Elimination.justification","Notes","study.id","Food.item","Stop_at_prod","Study.region"
"39","Impacts of climate variability and food price volatility on household income and food security of farm households in East and West Africa","Agricultural Systems","6/1/18","10.1016/j.agsy.2017.02.006",2,"This paper provides an ex-ante assessment of the impacts of climate and price variability on household income and food security in Ethiopia and Ghana. The study applies an agent-based modelling approach to highlight the role of coping and adaptation strategies under climate and price variability. Our simulation results show that climate and price variability adversely affects income and food security of households in both countries. Self-coping mechanisms are found to be important but insufficient to mitigate the adverse effects of variability, implying the need for policy interventions. Adaptation strategies composed of a portfolio of actions such as the provision of production credit and access to improved seeds are found to be effective in reducing the impacts of climate and price variability in Ethiopia. Similarly, policy interventions aimed at improving the provision of short-term production credit along with the existing irrigation facilities are important in Ghana. Finally, this study highlights the importance of capturing the distributional aspects of adaptation options by highlighting heterogeneous effects of variability and adaptation options. (C) 2017 Elsevier Ltd. All rights reserved.","Shauna","","Yes","","Yes","","No","","No","","No",NA,"No","","Yes","Food security","Yes","","Climate, price variability","","na","No","Agent based modeling to examine coping and adaptation strategies under climate and price variability","Quantitative","Coping and adaptation strategies","Ethiopia and Ghana","National","na","N","It's looking at year to year variation rather than a shock per se. Also focused on coping mechanisms and adaptation BUT it does include simulations of shocks","",39,"Not specific","N","Africa"
"40","IMPACTS OF FLOOD ON LIVELIHOODS AND FOOD SECURITY OF RURAL COMMUNITIES: A CASE STUDY OF SOUTHERN PUNJAB, PAKISTAN","Pakistan Journal of Agricultural Sciences","12/1/13",NA,4,"Pakistan faced a tragic and massive flood in mid of 2010. The occurred disaster was of unprecedented level affecting more than 20.1 million population in entire country. The Punjab province was major hit by the flood. In this regard, present study was conducted in Southern Punjab to explore the impacts of flood on livelihoods and food security of rural communities. District Muzaffargarh was the major flood affected area of Punjab and was selected as study area. Total 120 flood affected people were interviewed for the sake of data collection. Data were collected through interview schedule and later on were analyzed with the help of computer software SPSS (Statistical Package for Social Sciences). The findings revealed that agriculture was the major income source of the area and flood affected the natural capitals (land, irrigation, orchards and livestock) pushing the income generating sources into darkness. These situations made the people food deficit and food insecure as they had to use contaminated commodities especially water. Generally that disaster pushed the farmers' prosperity to several years back. Integration of public and private sector along with NGO'S and national and international funding agencies can help to gain their resilience. Furthermore, establishment of early warning system and capacity building of flood victims will be helpful to cope with disasters. These actions should be established in the flood prone areas of entire country.","Shauna","","Yes","feed shortages","Yes","","No","","No","","No",NA,"No","","Yes","Food security? (difficult to interpret)","No","","Flood","","2010","Yes","Interviews in flood struck region (n=120); 10 purposively selected communities with 12 people most affected by flood.","Qualitative","Livelihoods and food security","Southern Punjab, Pakistan","Sub-national","2012 (I think. Based on the graphs)","N","","Seems really low quality. Hardly any info about methods, etc.",40,"Not specific","N","Asia"
"41","Investigating the sensitivity of household food security to agriculture-related shocks and the implication of social and natural capital","Sustainability Science","3/1/16","10.1007/s11625-015-0332-6",8,"This paper examines the impact of agriculture-related shocks on consumption patterns of rural farming households using 3 years of data from South Africa. We make two key observations. First, agriculture-related shocks reduce households' consumption. Second, natural resources and informal social capital somewhat counteract this reduction and sustain dietary requirements. In general, our findings suggest the promotion of informal social capital and natural resources as they are cheaper and more accessible coping strategies, in comparison to, for example, insurance, which remains unaffordable in most rural parts of sub-Saharan Africa. However, a lingering concern centres on the sustainability of these less conventional adaptation strategies.","Shauna","","No","","Yes","","No","","No","","No",NA,"Yes","(mentions selling of crops harvested)","Yes","","No","","Poor rainfall, hail, strong winds","","2010-2012","No","Regression using panel data from household surveys","Quantitative","Caloric consumption per capita from crop farming, natural resources and groceries","Mpumalanga Province, South Africa","Sub-national","2010-2012","N","","Includes adapatation as well",41,"Not specific","N","Africa"
"42","Local Food Prices and International Price Transmission","World Development","8/1/17","10.1016/j.worlddev.2017.03.008",5,"World food prices spiked in the periods 2007-8 and 2010-11. The impact of these spikes in world food prices on local food prices and thus on local consumers is determined by the food price pass through. Pass through is defined as the extent to which changes in world food prices lead to changes in local food prices. We examine the determinants of variation in food price pass through from global to local consumer prices in a global sample of 147 countries, using FAO data on world food prices and ILO data on food prices for consumers. While market integration matters, our study finds that income per capita is the dominant factor explaining cross-country variation in pass through of food prices. We estimate an elasticity of about 0.3 of pass through with respect to income per capita. This means far greater price transmission of food price shocks at the commodity level to final consumers in low-income countries than in high-income countries. The implication is that future swings in world food prices will in particular jeopardize food security in poor countries. Trade policy measures of market integration also affect the pass through significantly, whereas infrastructure and geography measures play no significant role. (C) 2017 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals, oils and fats, dairy, meat and sugar; items in 'Food Item(s)' based on current list of commodities in FAO's Food Price Index; 'milk powder' was modified to 'milk'","No","","No","","No","","No","","Yes",NA,"No","","No","","Yes","","Price spike","","2007-2008","Yes","Regression using world food price data and consumer price index for price of total food consumption within country and to examine long-run food price pass through","Quantitative","food price pass through","147 countries","International","2000-2012","N","","",42,"Maize, Wheat & Rice","N","Multi-regional"
"43","Local impacts of a global crisis: Food price transmission, consumer welfare and poverty in Ghana","Food Policy","8/1/10","10.1016/j.foodpol.2010.01.004",40,"This paper takes a local perspective on global food price shocks by analyzing food price transmission between regional markets in Ghana. It also assesses the impacts of food price increases on various household groups. Taking the 2007-2008 global food crisis as an example, we show that prices for domestic grain products are highly correlated with world market prices. This is true both for products for which Ghana is highly import-dependent (e.g., rice) and the products for which Ghana is self-sufficient (e.g., maize). The econometric results also show that price transmission is high between regional producer markets and markets located in the country's largest cities, and the distance between producer and consumer markets and the size of consumer markets matter in explaining the price transmission. The welfare analysis for households as consumers shows that the effect of world food prices appears relatively modest for the country as a whole due to relatively diverse consumption patterns within country. However, the national average hides important regional differences, both between regions and within different income groups. We find that the poorest of the poor-particularly those living in the urban areas-are hardest hit by high food prices. The negative effect of the food crisis is particularly strong in northern Ghana. The main explanations for this regional variation in the price effect is the different consumption patterns and much lower per capita income levels in the North of Ghana compared to other regions in the country. (C) 2010 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals and tubers (maize, rice, wheat, sorghum and millet, cassava, and
yam, cocoyam and other staples)","No","","No","(but looks at markets in production areas)","Yes","","Yes","(distance between markets)","Yes",NA,"No","","Yes","Food expenditure only","Yes","","Price spike","","2007-2008","Yes","Model examining cointegration and partial equilibrium model to exam consumer demand for food given shock","Quantitative","Price transmission","Ghana","National","2007-2008","N","","",43,"Maize, Wheat & Rice","N","Africa"
"44","Loss and damage from the double blow of flood and drought in Mozambique","International Journal of Global Warming","1/1/13","10.1504/IJGW.2013.057291",18,"Loss and damage associated with the adverse effects of climate variability and climate change is currently an important topic being discussed under the United Nations Framework Convention on Climate Change. This study investigated loss and damage from floods and droughts among rural households living near the Limpopo, Zambezi and Save rivers in Mozambique. We used a questionnaire survey (n = 303) and qualitative research tools. The study showed that farmers in the research areas were caught between two evils. In the uplands, conditions for agriculture are extremely poor and crop yields are low; moreover, farmers face considerable risk of crop failure when drought hits. In the lowlands, close to the river, soil and water conditions are more favourable, but these areas experience frequent floods. Evidence from this study shows that farmers in the research areas are severely affected by both floods and droughts, and their capacity to cope and adapt is limited. With very little livelihood diversification and poor access to markets, crop failures translate almost directly into severe food insecurity among the population.","Shauna","","No","","Yes","(just mentions that it affects production)","No","","No","","No",NA,"No","","No","","Yes","(mentions influences food prices)","Floods, drought","","Between 1992-2012","No","Survey questionnaire (n=303) and interviews and focus group discussions","Qualitative","Impacts of shocks","4 districts in Limpopo, Zambezi and Save rivers areas, Mozambique","Sub-national","doesn't mention","N","","Pretty qualitative. Just asking when there were shocks over the years and then how that might have influences them and then potential coping mechanisms",44,"Not specific","N","Africa"
"45","Market Integration and Spatial Price Transmission in Niger Grain Markets","African Development Review-Revue Africaine De Developpement","6/1/14","10.1111/1467-8268.12080",4,"This paper investigates price transmission from international and regional markets to Niger domestic grain markets using monthly wholesale prices. Cointegration and error correction models were employed to analyze the degree of price transmission. Tests of causality were also performed. In general, the results showed that grain markets in Niger respond to negative and positive shocks in regional and international markets differently. Maize and rice markets have high speed of adjustments to world prices compared to millet and sorghum markets. The speed of adjustment of prices to the long-run equilibrium varies between 30 percent, 35 percent, 48 percent and 40 percent respectively for millet, sorghum, maize and rice prices. Nigeria, Burkina-Faso, Mali, Togo and Vietnam markets have shown significant transmission in Niger markets. Supply and demand shocks in these markets will definitely affect Niger food prices. Based on this analysis, we suggest that Niger should develop a proper trade policy with its neighboring countries to facilitate regional market integration. This will enable Niger to import cereals from regional surplus-producing areas to supply its food shock regions to reduce the negative impacts of price shocks on households. For rice, Niger should encourage local production to limit high dependence on international markets.","Shauna","","No","","Yes","(talks about how production changes due to seasonality influence the prices)","No","","Yes","(mentions transportation)","Yes",NA,"No","","No","","Yes","","No specific shock","","na","Yes","Cointegration models to analyze price transmissions using monthly wholesale prices from FAO","Quantitative","Price transmission","Niger","National","2006-2012","N","","Doesn’t actually mention a shock or climate. Not sure if it should be included",45,"Other cereals","N","Africa"
"46","MARKET SHOCKS IN SALMON AQUACULTURE: THE IMPACT OF THE CHILEAN DISEASE CRISIS","Journal of Agricultural and Applied Economics","5/1/18","10.1017/aae.2017.33",3,"Several studies indicate an integrated global market for salmon. However, there is increasing evidence of market segmentation for various seafood species. A disease crisis in Chile that reduced production by two-thirds provides a strong market shock that can shed light on how strongly integrated the salmon market is. Our results indicate that Chilean producers changed the product mix and export markets as a result of the disease shock. Yet, the relative prices remained constant, indicating a high degree of market integration. Moreover, Chilean prices are endogenous to the Norwegian price, indicating that prices are determined at the global market.","Shauna","","No","","Yes","","No","","No","","Yes",NA,"No","","No","","Yes","","Disease","(infectious salmon anemia)","Began in 2008, halved in 2009 and further reduced in 2010","Yes","Emprirical analysis of market integration","Quantitative","Production, trade and price","Chile, Norway, US, Brazil","International","2002-2015","N","","",46,"Seafood","N","Multi-regional"
"47","Negative impact on calorie intake associated with the 2006-08 food price crisis in Latin America","Food and Nutrition Bulletin","6/1/11",NA,9,"Background. From 2006 to 2008, there were sharp increases in the prices of major food commodities globally, including maize, rice, and wheat. Few studies have contributed empirical evidence of the nutritional impacts of this food price crisis. Objective. To assess changes in energy intake in response to food price shocks and in relation to calorie adequacy levels in seven Latin American countries. Methods. Data were drawn from nationally representative household budget surveys. The quadratic almost ideal demand system (QUAIDS) model characterized change patterns in consumption for six food groups and one nonfood group under two scenarios: actual change in food prices by country, and standardized 10% increase in prices across all countries. Energy intakes before and after the crisis were determined once calories were assigned to food items from the ProPAN and US Department of Agriculture food composition databases. Results. Energy intakes were reduced by 8.0% (range, 0.95% to 15.1%) from precrisis levels across all countries. Ecuador and Panama were the worst affected, followed by Haiti and Nicaragua. There was a consistent, direct relationship between wealth quintile and change in energy intake. Rural areas were affected to the same extent as or a greater extent than urban areas. High positive increases in calorie consumption were found in the richest wealth quintile, exceeding 10% of previous levels in five countries. Conclusions. Policies and programs targeting the poorest households in both rural and urban areas may be needed to offset the energy deficits associated with food price increases. More research is needed on the effect of food prices and micronutrient nutrition.","Shauna","Original: All (6 food groups)","No","","No","","No","","No","","No",NA,"No","","Yes","","Yes","","Price spike","","2006-2008","No","Quadratic almost ideal deman system model using nationally representative household budget surveys to characterize changes in conusmption patterns of 6 food groups under 2 scenarios: 1) actual increase in price and 2) 10% increase in all prices","Quantitative","Energy intakes","Guatemala, Nicaragua, Panama, Haiti, Ecuador, Peru","National","2006-2008","N","","",47,"Not specific","N","Multi-regional"
"48","Nutritional resilience in Nepal following the earthquake of 2015","Plos One","11/7/18","10.1371/journal.pone.0205438",0,"Background The 2015 earthquake in Nepal caused massive damages and triggered relief activities to minimize human suffering. The post-earthquake nutrition and food security situation in the hardest hit areas remains uncertain. Methods Two national cross-sectional surveys were conducted in 2014 and 2016 among households (HH) with pre-school aged children or newly married women. Of the 21 village development committees (VDCs) included in this sample, 7 fell within ""earthquake-affected"" areas. This paper presents data from 982 HH, 1015 women, and 883 children from 2014 and 1056 HH, 1083 women, and 998 children from 2016 living in these areas, with longitudinal overlap of about 55%. Prevalence estimates and 95% confidence intervals were calculated, and logistic regression was used to calculate p-values, both using robust estimates of standard errors to account for clustering. Results From 2014 to 2016, child wasting (weight-for-height z score <-2) fell from 4.5% (95% CI 3.3%- 6.1%) to 2.1% (1.4%- 3.1%) and food insecurity (assessed using the household food insecurity access scale) dropped from 17.6% (11.7%- 25.6%) to 12.4% (6.9%- 21.2%). Child stunting prevalence remained similar at both time-points. Improvements were also evident in dietary diversity and breastfeeding indicators. Conclusions Nutrition and food security conditions remained comparable or improved one year after the earthquake despite evidence of structural and other damage. Livelihood resilience to shocks and/or effective nutrition, food or health interventions may have helped buffer the impact on nutrition, although this hypothesis requires further exploration.","Shauna","","No","","Yes","assessed crop loss","No","","No","","No",NA,"No","","Yes","Dietary diversity, malnutrition, food security","No","","Earthquake","","2015","No","Two national cross-sectional surveys conducted in 2014 and 2016 amont households with pre-school childre or newly married women. 7/21 village development committees were in earthquake affected areas","Quantitative","Prevalence of wasting, stunting, food security and crop production","Earth-quake affected districts (Slukhumba, Rasuwa, Sindhupalchok, Arghakhanchi, Lamjung, Kathmandu, Ramechap), Nepal","Sub-national","2014-2016","N","","",48,"Not specific","N","Asia"
"49","Potential socio-economic implications of future climate change and variability for Nigerien agriculture: A countrywide dynamic CGE-Microsimulation analysis","Economic Modelling","6/1/17","10.1016/j.econmod.2017.02.005",1,"This study explores the potential economic and social effects induced by a possible future deterioration of weather conditions on Niger's agriculture. Our scenarios over a 25 year period rely on both long term climate change deterministic features and climate variability stochastic features which take into account a higher than normal frequency of severe droughts. Using a microsimulated Dynamic Recursive Computable General Equilibrium model, we show how a long run mean decrease in main crop yields could adversely affect growth, poverty and food security in the country and how more severe drought would worsen these negative effects. However, we also show that there would appear to be some room for manoeuvre for coping strategies for Niger such as improving the rural road network, adopting modern crop varieties or, to a lesser extent, extending irrigation capacity.","Shauna","","No","","Yes","","No","","No","but does test scenario of improving road network as coping","No",NA,"No","","Yes","Food security","Yes","","Drought","","na","No","Microsimulated dynamic recursive GGE model to examine decrease in crop yields and affects on growth, poverty and food security attributed to drought","Quantitative","GDP, food prices, food security, poverty","Niger","National","2015–2040","N","Long changing but does look at drought","Includes some coping as well",49,"Not specific","N","Africa"
"50","Rapidly rising food prices and the experience of food insecurity in urban Ethiopia: Impacts on health and well-being","Social Science & Medicine","12/1/12","10.1016/j.socscimed.2012.09.018",33,"The rise in food prices since 2007 is widely recognized as signaling a crisis of food insecurity among the world's poor. Scholars sought to chart the impacts of the crisis on food insecurity by conducting simulation studies, assessing anthropometric outcomes, and evaluating shifts in experience-based measures of food security. Few studies, however, have investigated the broader impacts on those most vulnerable and how rapid rises in food prices play out in the everyday lives of those most impacted. We used qualitative methods to investigate the impact of the rise in food prices on the urban poor in Ethiopia. Twenty semi-structured interviews were conducted in August 2011, in the provincial town of jimma. Themes identified in these interviews included coping strategies, consumption priorities, and impacts on institutional networks of sharing. Our results suggest that several important cultural practices, including funerals and coffee ceremonies, were undermined by the rise in prices, and that respondents linked food prices to increasing food insecurity, which they in turn linked to high levels of stress, poor mental health, and reduced physical health. Our results are consistent with several other studies that suggest that food insecurity has a range of non-nutritional consequences, and that these are due in part to the highly social nature of food. Recognizing the effects of food insecurity on dimensions of everyday life such as interaction with neighbors, and feelings of shame, draws attention to the potential for food price increases to have erosive effects on communal social capital, and to increase the vulnerability of affected peoples to future shocks. (C) 2012 Elsevier Ltd. All rights reserved.","Shauna","","No","","No","","No","","No","","No",NA,"No","","Yes","","Yes","","Price spike","","2007-2008","No","20 semi-structured interviews to examine how food prices influenced the lives of urban poor","Qualitative","Consumption changes","Jimma, Ethiopia","Sub-national","2011","N","","Qualitative data. Much of the focus on coping",50,"Not specific","N","Africa"
"51","Regional Price Effects of Extreme Weather Events and Wheat Export Controls in Russia and Ukraine","Journal of Agricultural Economics","9/1/16","10.1111/1477-9552.12167",2,"We build on the price transmission framework to identify domestic wheat price effects of wheat export controls. We explicitly take into account that a harvest failure causes domestic price effects. Moreover, the analysis at the regional level provides further evidence of the functioning of export controls in a large country. Results suggest a pronounced regional heterogeneity in the strength of domestic price effects of the 2010/11 export ban in Russia. The wheat price dampening effects amount to up to 67% and are strongest in the major wheat exporting region with direct access to the world market. This effect is transmitted to other regions by increased and reversed interregional trade flows. In contrast, we find that regional variation of export controls' domestic price effects in Ukraine is rather small.","Shauna","","No","","Yes","","No","","No","","Yes",NA,"No","","No","","Yes","","Export controls","Domestic harvest failures leading to export controls","2010/11","No","Econometric model examining price transmission using weekly wheat region-specific price series (Russia) and monthly price series (Ukraine)","Quantitative","Price transmission","Russia and Ukraine","International","2005-2013","N","","Examining the export policies. Doesn't mention a climate shock at all.",51,"Maize, Wheat & Rice","N","Europe"
"52","Reserves and trade jointly determine exposure to food supply shocks","Environmental Research Letters","9/1/16","10.1088/1748-9326/11/9/095009",21,"While a growing proportion of global food consumption is obtained through international trade, there is an ongoing debate on whether this increased reliance on trade benefits or hinders food security, and specifically, the ability of global food systems to absorb shocks due to local or regional losses of production. This paper introduces a model that simulates the short-term response to a food supply shock originating in a single country, which is partly absorbed through decreases in domestic reserves and consumption, and partly transmitted through the adjustment of trade flows. By applying the model to publicly-available data for the cereals commodity group over a 17 year period, we find that differential outcomes of supply shocks simulated through this time period are driven not only by the intensification of trade, but as importantly by changes in the distribution of reserves. Our analysis also identifies countries where trade dependency may accentuate the risk of food shortages from foreign production shocks; such risk could be reduced by increasing domestic reserves or importing food from a diversity of suppliers that possess their own reserves. This simulation-based model provides a framework to study the short-term, nonlinear and out-of-equilibrium response of trade networks to supply shocks, and could be applied to specific scenarios of environmental or economic perturbations.","Shauna","Original: Cereals and cereal products","No","","Yes","","Yes","(reserves)","No","","Yes",NA,"No","","Yes","","Yes","Indirectly (check with Jessica)","Simulate a shock","Production shock (20%)","na","Yes","Model simulating the impact of a shock of a specific food commodity to global trade to examine tapping into reserves using historical data on the international trade of cereals","Quantitative","Transmission of shock through trade networks","Global","International","1994-2011","N","","No mention of climate",52,"Other cereals","N","Multi-regional"
"53","Residential relocation and obesity after a natural disaster: A natural experiment from the 2011 Japan Earthquake and Tsunami","Scientific Reports","1/23/19","10.1038/s41598-018-36906-y",0,"Natural disasters are often associated with forced residential relocation, thereby affected people experience a change of food environment that results in the increased body mass index. However, there are a few studies that examined whether a change in food environment caused risk of obesity after a natural disaster. To address this question, we leveraged a natural experiment of residential relocation in the aftermath of the 2011 Japan Earthquake and Tsunami. Our baseline data came from a nationwide cohort study of older community-dwelling adults conducted 7 months prior to the disaster. By chance, one of the field sites (Iwanuma City, Miyagi Prefecture) was directly in the line of the tsunami. Approximately 2.5 years after the disaster, we ascertained the residential addresses and health status of 3,594 survivors aged 65 years or older (82.1% follow-up rate). Fixed effects multinomial logistic regression showed that shortened distances to food outlets/bars increased the risks of transitioning from BMI in the normal range (18.5-22.9) to obesity (>= 25.0) (Odds ratios: 1.46 for supermarkets; 1.43 for bars; 1.44 times for fast food outlets). Radically changed food access after a natural disaster may raise the risk of obesity among older survivors.","Kyle","","No","","No","","No","","No","","No",NA,"Yes","","Yes","","No","","Earthquake/tsunami","","2011","No","Fixed effects regression approach","Qualitative","Obesity","Japan","Sub-national","2010-2011","N","","",53,"Not specific","N","Asia"
"54","Rethinking the global food crisis: The role of trade shocks","Food Policy","4/1/11","10.1016/j.foodpol.2010.10.003",96,"Although fundamental factors were clearly responsible for shifting the world to a higher food price equilibrium in the years leading up the 2008 food crisis, there is little doubt that when food prices peaked in June of 2008, they soared well above the new equilibrium price. Numerous arguments have been proposed to explain overshooting, including financial speculation, depreciation of the United States (US) dollar, low interest rates, and reductions in grain stocks. However, observations that international rice prices surged in response to export restrictions by India and Vietnam suggested that trade-related factors could be an important basis for overshooting, especially given the very tangible link between export volumes and export prices. In this paper, we revisit the trade story by closely examining monthly data from Thailand (the largest exporter of rice), and the United States (the largest exporter of wheat and maize and the third largest exporter of soybeans). In all cases except soybeans, we find that large surges in export volumes preceded the price surges. The presence of these large demand surges, together with back-of-the-envelope estimates of their price impacts, suggests that trade events played a much larger and more pervasive role than previously thought. (C) 2010 Elsevier Ltd. All rights reserved.","Kyle","","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Price spike","","2008","No","Descriptive analysis","Quantitative","Price volatility","Thailand, United States","National","2000s","N","","",54,"Maize, Wheat & Rice","N","Multi-regional"
"55","Rising Food Prices and Coping Strategies: Household-level Evidence from Afghanistan","Journal of Development Studies","2/1/12","10.1080/00220388.2011.635422",17,"This article investigates the impact of rising wheat prices on household food security in Afghanistan. Exploiting a unique nationally-representative household survey, we find evidence of large declines in the real value of per capita food consumption. Smaller price elasticities with respect to calories than with respect to food consumption suggest that households trade off quality for quantity as they move away from nutrient-rich foods such as meat and vegetables toward staple foods. Our work improves upon country-level simulation studies by providing estimates of actual household food security during a price shock in one of the world's poorest, most food-insecure countries.","Kyle","","No","","No","","No","","No","","No",NA,"No","","Yes","","Yes","","Price spike","","2008","No","Empirical regression approach","Quantitative","Household food security","Afghanistan","Sub-national","2007-2008","N","","",55,"Maize, Wheat & Rice","N","Middle East"
"56","Shock transmission in the International Food Trade Network","Plos One","8/8/18","10.1371/journal.pone.0200639",3,"Food Security is a long-standing concern worldwide. The expansion of global food markets brings benefits but also risks, such as shock transmission within the global network of trade relations. We focus on this last issue, from an empirical point of view, by analysing the diffusion of trade shocks-defined as relevant drops in exported quantities-during the period 1986-2011, for four major staples (wheat, maize, rice, and soy-beans) both at country level and at global scale. We find that: (i) income per capita of importing countries is relevant in shock propagation; (ii) developing countries tend to absorb most of the negative export variation (i.e., the trade shock), and (iii) global food prices and real (tonnes) flows of commodities are only weakly correlated, meaning that a quantity-based investigation provides additional information with respect to a price-based analysis. This work offers a novel frame-work, complementary to the price-based literature, for the measurement of the propagation of international food shocks.","Kyle","","No","","No","","No","","No","","Yes",NA,"No","","No","","No","","Drop in export quantity","","Multiple","Yes","Statistical regression","Quantitative","Shock transmission","Global","National","1986-2011","N","","",56,"Maize, Wheat & Rice","N","Multi-regional"
"57","Shocks to fish production: Identification, trends, and consequences","Global Environmental Change-Human and Policy Dimensions","1/1/17","10.1016/j.gloenvcha.2016.11.003",12,"Sudden disruptions, or shocks, to food production can adversely impact access to and trade of food commodities. Seafood is the most traded food commodity and is globally important to human nutrition. The seafood production and trade system is exposed to a variety of disruptions including fishery collapses, natural disasters, oil spills, policy changes, and aquaculture disease outbreaks, aquafeed resource access and price spikes. The patterns and trends of these shocks to fisheries and aquaculture are poorly characterized and this limits the ability to generalize or predict responses to political, economic, and environmental changes. We applied a statistical shock detection approach to historic fisheries and aquaculture data to identify shocks over the period 1976-2011. A complementary case study approach was used to identify possible key social and political dynamics related to these shocks. The lack of a trend in the frequency or magnitude of the identified shocks and the range of identified causes suggest shocks are a common feature of these systems which occur due to a variety, and often multiple and simultaneous, causes. Shocks occurred most frequently in the Caribbean and Central America, the Middle East and North Africa, and South America, while the largest magnitude shocks occurred in Asia, Europe, and Africa. Shocks also occurred more frequently in aquaculture systems than in capture systems, particularly in recent years. In response to shocks, countries tend to increase imports and experience decreases in supply. The specific combination of changes in trade and supply are context specific, which is highlighted through four case studies. Historical examples of shocks considered in this study can inform policy for responding to shocks and identify potential risks and opportunities to build resilience in the global food system. (C) 2016 The Authors. Published by Elsevier Ltd.","Kyle","","No","","Yes","","No","","No","","Yes",NA,"No","","Yes","","No","","Multiple","","Multiple","Yes","Shock detection and news/report search","Mixed","National seafood supply and imports","Global","International","1976-2011","N","","",57,"Seafood","N","Multi-regional"
"58","Sit down at the ball game: How trade barriers make the world less food secure","Food Policy","2/1/13","10.1016/j.foodpol.2012.09.002",22,"This paper analyses the impacts of trade policy responses to rising world food prices by carrying out a series of stylised experiments in the wheat market using a world trade model, GTAP. The sequence of events that is modelled comprises a negative wheat supply shock and subsequent implementation of an export tax by a major net exporter and a reduction in import tariffs by a small importer. The effects of trade policy responses are contrasted with those of full liberalisation of the wheat market. At the core are the (opposite) effects on producers and consumers, as well as the terms of-trade and trade tax revenue effects. Food security is shown to depend crucially on changes in prices but also in incomes that are associated with changes in factor returns. The results reveal that major net exporters are generally better off when implementing export taxes for food security purposes. Large exporting countries export price instability causing world food prices to rise further. Net importing countries lose out and have limited leeway to reduce tariffs or subsidise imports. Liberalising wheat trade mitigates rising prices and contributes to food security, but to the detriment of production in Africa and Asia, making them more dependent on and vulnerable to changes in the world market. Concerted action at the WTO forum is required, notably clarifying and sharpening the rules regarding export measures. (C) 2012 Elsevier Ltd. All rights reserved.","Kyle","","No","","No","","No","","No","","Yes",NA,"No","","No","","Yes","","Simulated supply shock","export tax (major exporter), and reduced import tariffs (small importer)","n/a","Yes","Computable general equilibrium model (GTAP)","Quantitative","Food security","Global","International","n/a","N","","",58,"Maize, Wheat & Rice","N","Multi-regional"
"59","Socioeconomic impacts of floods and droughts in the middle Zambezi river basin Case of Kanyemba","International Journal of Climate Change Strategies and Management","1/1/14","10.1108/IJCCSM-03-2013-0016",2,"Purpose - The purpose of the paper is to analyse how floods and droughts affect communities' livelihood in the middle Zambezi river basin and coping mechanisms which households apply to counter the impact of floods and droughts. Design/methodology/approach - The method adopted was semi-structured interviews, focus group discussions and semi-structured questionnaires. Findings - Thematic analysis shows that the major issues affecting communities' livelihood in the middle Zambezi river basin are related to frequent floods and droughts. Floods are due to heavy seasonal rainfall which occurs at the peak of the rainfall season. As for droughts, the frequency of dry-spells of 20 days on average has been observed during the crop season. The impacts of floods and droughts in the district, notably in some wards such as Kanyemba, are the reduction of crop production, food shortages, reduction of agriculture derived income and erosion of social network. Households have responded to these impacts through a number of coping mechanisms including disposal of assets, labour migration, stream bank and floodplain cultivation, piecework, remittance, wild production and fishing. However, such coping mechanisms are short term and some of them are in conflict with the country's environmental laws. Originality/value - This paper reports a study on the first such finding related to socioeconomic impact of floods and droughts on households located in the middle Zambezi valley which is 500 km from Harare with a specific focus on traditional coping strategies in the face of disasters.","Kyle","Original: Crops, livestock","No","","Yes","","No","","No","","No",NA,"No","","Yes","","Yes","","Floods, droughts","","Multiple","No","Interviews and focus groups","Qualitative","Livelihoods impacts","Zimbabwe","Sub-national","n/a","N","","",59,"Not specific","N","Africa"
"60","Supplier hoarding, government intervention, and timing for post-disaster crop supply chain recovery","Transportation Research Part e-Logistics and Transportation Review","6/1/16","10.1016/j.tre.2015.09.013",1,"This work presents a multi-methodological approach to address the issue of post-disaster crop supply chain recovery under the influences of government intervention and supplier hoarding intention. A conceptual model which characterizes the antecedents of supplier hoarding intention is proposed, and validated using survey data. Grounded in the empirical study, an analytical model is then proposed for decision analysis of a two-tier crop supply chain recovering from post-disaster supply disruptions. Analytical results indicate that hoarding behavior reduces the time taken by supply chain members for supply recovery; and however, contributes to mixed effects on the expected profits of supply chain members. (C) 2015 Elsevier Ltd. All rights reserved.","Kyle","","No","","Yes","","Yes","","Yes","","No",NA,"Yes","","No","","No","","Typhoon","","2009","No","Behavior models and supplier questionnaire","Mixed","Supplier intention to hoard","Taiwan","National","n/a","N","","",60,"Not specific","N","Asia"
