"publication.title","publication.journal","publication.date","publication.doi"
"Intensifying drought eliminates the expected benefits of elevated carbon dioxide for soybean","Nature Plants",NA,"10.1038/NPLANTS.2016.132"
"The yield of eggplant depending on climate conditions and mulching","Folia Horticulturae",NA,"10.1515/fhort-2016-0003"
"Crop Productivity in Changing Climate","Sustainable Agriculture Reviews 27",NA,"10.1007/978-3-319-75190-0_8"
"Understanding the Changes in Global Crop Yields Through Changes in Climate and Technology","Earths Future",NA,"10.1002/2017EF000690"
"Acute High Temperature Response in Wheat","Agronomy Journal",NA,"10.2134/agronj2017.07.0392"
"Climate change impacts on rice (Oryza sativa) productivity and strategies for its sustainable management","Indian Journal of Agricultural Sciences",NA,NA
"The association of crop production and precipitation; a comparison of two methodologies","Arid Land Research and Management",NA,"10.1080/15324982.2018.1531323"
"Simulating impact of climatic variability and extreme climatic events on crop production","Mausam",NA,NA
"The influence of weather extremes on the spatial correlation of corn yields","Climatic Change",NA,"10.1007/s10584-015-1538-4"
"Heat-related mortality in dairy cattle A case crossover study","Preventive Veterinary Medicine",NA,"10.1016/j.prevetmed.2010.09.004"
"Sensitivity analyses of crop yields and changes in climate variables simulated with iGAEZ","Hydrological Processes",NA,"10.1002/hyp.9342"
"EFFECT OF CLIMATE CHANGE FACTORS ON PROCESSES OF CROP GROWTH AND DEVELOPMENT AND YIELD OF GROUNDNUT (ARACHIS HYPOGAEA L.)","Advances in Agronomy, Vol 116",NA,"10.1016/B978-0-12-394277-7.00002-6"
"Modelling the impacts of weather and climate variability on crop productivity over a large area: A new process-based model development, optimization, and uncertainties analysis","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2008.11.004"
"Modelling the impacts of weather and climate variability on crop productivity over a large area: A new super-ensemble-based probabilistic projection","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2009.02.015"
"Impact of derived global weather data on simulated crop yields","Global Change Biology",NA,"10.1111/gcb.12302"
"A Neural Network approach for Disease Forecasting in Grapes using Weather Parameters","2013 Fourth International Conference on Computing, Communications and Networking Technologies (Icccnt)",NA,NA
"Extreme Weather and influences on Plant Pests: Extreme Knowledge Gap","Gesunde Pflanzen",NA,"10.1007/s10343-014-0319-8"
"Weather Fronts and Postharvest Decays and Safety of Field-Grown Tomatoes","Iv International Symposium on Tomato Diseases",NA,NA
"Lettuce (Lactuca sativa L.) yield prediction under water stress using artificial neural network (ANN) model and vegetation indices","Zemdirbyste-Agriculture",NA,NA
"The Effects of Changing Climate and Market Conditions on Crop Yield and Acreage Allocation in Nepal","Climate",NA,"10.3390/cli6020032"
"Assessing local and regional economic impacts of climatic extremes and feasibility of adaptation measures in Dutch arable farming systems","Agricultural Systems",NA,"10.1016/j.agsy.2017.06.013"
"Measuring the effects of extreme weather events on yields","Weather and Climate Extremes",NA,"10.1016/j.wace.2016.02.003"
"Effects of climate trends and variability on wheat yield variability in eastern Australia","Climate Research",NA,"10.3354/cr01307"
"Performance of agro-climate indices and wheat grain yield in a changing climate","Climate Research",NA,"10.3354/cr01400"
"Effects of high-temperature episodes on wheat yields in New South Wales, Australia","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2015.03.018"
"CLIMATE IMPACTS ON WHEAT PHENOLOGY AND PRODUCTION USING MUTI-SOURCE DATA IN NSW, AUSTRALIA","2016 Ieee International Geoscience and Remote Sensing Symposium (Igarss)",NA,"10.1109/IGARSS.2016.7730646"
"Between Climate Reliance and Climate Resilience: Empirical Analysis of Climate Variability and Impact on Nigerian Agricultural Production","Climate Change Adaptation in Africa: Fostering Resilience and Capacity to Adapt",NA,"10.1007/978-3-319-49520-0_2"
"Effects of changing climate and cultivar on the phenology and yield of winter wheat in the North China Plain","International Journal of Biometeorology",NA,"10.1007/s00484-015-1002-1"
"Relationships between drought disasters and crop production during ENSO episodes across the North China Plain","Regional Environmental Change",NA,"10.1007/s10113-014-0723-8"
"Modeling the response of wheat and maize productivity to climate variability and irrigation in the North China Plain","18th World Imacs Congress and Modsim09 International Congress on Modelling and Simulation",NA,NA
"Contribution of cultivar, fertilizer and weather to yield variation of winter wheat over three decades: A case study in the North China Plain","European Journal of Agronomy",NA,"10.1016/j.eja.2013.05.005"
"Relationship between ocean climatic variability and rain-fed agriculture in northeast Brazil","Climate Research",NA,"10.3354/cr00786"
"Climate effects on crop yields in the Northeast Farming Region of China during 1961-2010","Journal of Agricultural Science",NA,"10.1017/S0021859616000149"
"Quantifying extreme climatic conditions for maize production using RZWQM in Siping, Northeast China","International Journal of Agricultural and Biological Engineering",NA,"10.25165/j.ijabe.20191202.3388"
"Association between climate indices, aridity index, and rainfed crop yield in northeast of Iran","Field Crops Research",NA,"10.1016/j.fcr.2010.04.011"
"Effects of precipitation and temperature on crop production variability in northeast Iran","International Journal of Biometeorology",NA,"10.1007/s00484-010-0348-7"
"Mitigation of climate change impacts on maize productivity in northeast of Iran: a simulation study","Mitigation and Adaptation Strategies for Global Change",NA,"10.1007/s11027-011-9305-y"
"Spatio-temporal associations of albacore CPUEs in the Northeastern Pacific with regional SST and climate environmental variables","Ices Journal of Marine Science",NA,"10.1093/icesjms/fst238"
"The association of weather variables with rice production and simulation of agro-adaptation measure for northeast Thailand: evidence from panel data model","International Journal of Global Warming",NA,NA
"Identifying the impact of multi-hazards on crop yield-A case for heat stress and dry stress on winter wheat yield in northern China","European Journal of Agronomy",NA,"10.1016/j.eja.2015.10.009"
"Effect of snow disasters on livestock farming in some rangeland regions of China and mitigation strategies a review","Rangeland Journal",NA,"10.1071/RJ11052"
"The challenges and opportunities for wheat production under future climate in Northern Ethiopia","Journal of Agricultural Science",NA,"10.1017/S0021859616000460"
"Lessons from the past in weather variability: sowing to ripening dynamics and yield penalties for northern agriculture from 1970 to 2012","Regional Environmental Change",NA,"10.1007/s10113-014-0594-z"
"Responses of fish production to fishing and climate variability in the northern South China Sea","Progress in Oceanography",NA,"10.1016/j.pocean.2010.02.011"
"Impact of climate variability on staple food crops production in Northern Togo","Journal of Agriculture and Environment for International Development",NA,"10.12895/jaeid.20182.778"
"Characterization of Inter-seasonal Climatic Variability through Dry-season Rice productivity in the North-west Region of Bangladesh","Italian Journal of Agrometeorology-Rivista Italiana Di Agrometeorologia",NA,"10.19199/2017.1.2038-5625.005"
"Correlation changes between rice yields in North and Northwest China and ENSO from 1960 to 2004","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2008.01.018"
"Mycotoxin contamination of cereal grain commodities in relation to climate in North West Europe","Food Additives and Contaminants Part a-Chemistry Analysis Control Exposure & Risk Assessment",NA,"10.1080/19440049.2012.689996"
"Examination of the Climate Factors That Reduced Wheat Yield in Northwest India during the 2000s","Water",NA,"10.3390/w11020343"
"Simulating the effect of the North Atlantic Oscillation on frost injury in winter wheat","Climate Research",NA,"10.3354/cr01097"
"Climate modulation of fish populations: the role of the Western Mediterranean Oscillation (WeMO) in sardine (Sardina pilchardus) and anchovy (Engraulis encrasicolus) production in the north-western Mediterranean","Climatic Change",NA,"10.1007/s10584-011-0091-z"
"Soya bean yield variability in the Argentine Pampas in relation to synoptic weather types: monitoring implications","Meteorological Applications",NA,"10.1002/met.148"
"Single and double crop systems in the Argentine Pampas: Environmental determinants of annual grain yield","Field Crops Research",NA,"10.1016/j.fcr.2015.03.008"
"Climate variability and the Peruvian scallop fishery: the role of formal institutions in resilience building","Climatic Change",NA,"10.1007/s10584-009-9545-y"
"Effects of fishing, market price, and climate on two South American clam species","Marine Ecology Progress Series",NA,"10.3354/meps10016"
"Impacts of Typhoon Haiyan on Philippine capture fisheries and implications to fisheries management","Ocean & Coastal Management",NA,"10.1016/j.ocecoaman.2018.03.032"
"Using GIS to map impacts upon agriculture from extreme floods in Vietnam","Applied Geography",NA,"10.1016/j.apgeog.2013.03.014"
"An analysis of the impacts of long-term climate variability on the commercial barramundi (Lates calcarifer) fishery of north-east Queensland, Australia","Fisheries Research",NA,"10.1016/j.fishres.2009.05.001"
"Assessing impact of seasonal rainfall on rice crop yield of Rajasthan, India using Association Rule Mining","2016 International Conference on Advances in Computing, Communications and Informatics (Icacci)",NA,NA
"The sugar beet in climate change - An empirical-statistical analysis of the effects of weather and climate on the development of earnings in selected regions of Rheinland-Pfalz, Germany","Sugar Industry-Zuckerindustrie",NA,NA
"Modelling the effects of climate variability on spring wheat productivity in the steppe zone of Russia and Kazakhstan","Ecological Modelling",NA,"10.1016/j.ecolmodel.2014.01.014"
"The Analysis of the Climate Factors Affecting the Rice Yield in Sangzhi County","Innovative Theories and Methods for Risk Analysis and Crisis Response",NA,NA
"The impact of El Nino Southern Oscillation phases on off-season maize yield for a subtropical region of Brazil","International Journal of Climatology",NA,"10.1002/joc.1951"
"Influence of seasonal weather and climate variability on crop yields in Scotland","International Journal of Biometeorology",NA,"10.1007/s00484-012-0588-9"
"Dairy cattle in a temperate climate: the effects of weather on milk yield and composition depend on management","Animal",NA,"10.1017/S1751731114002456"
"Effect of environmental conditions on the seasonal and inter-annual variability of small pelagic fish abundance off North-West Africa: The case of both Senegalese sardinella","Fisheries Oceanography",NA,"10.1111/fog.12218"
"Extreme Weather Impacts on Maize Yield: The Case of Shanxi Province in China","Sustainability",NA,"10.3390/su9010041"
"Application of remote sensing and GIS for assessing economic loss caused by frost damage to tea plantations","Precision Agriculture",NA,"10.1007/s11119-013-9318-5"
"Climate extremes: an observation and projection of its impacts on food production in ASEAN","Natural Hazards",NA,"10.1007/s11069-015-2081-3"
"Effects of changes in climatic variability on agricultural production","Climate Research",NA,"10.3354/cr00868"
"The effects of projected climate and climate extremes on a winter and summer crop in the southeast","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2017.09.007"
"Climate variability and fisheries in the southeastern Pacific","Latin American Journal of Aquatic Research",NA,"10.3856/vol40-issue3-fulltext-18"
"Climatic effect on milk production of Camosciata goats reared in Calabria","Large Animal Review",NA,NA
"Rainfall shocks, resilience, and the effects of crop biodiversity on agroecosystem productivity","Land Economics",NA,NA
"Modelling the impact of climate variability and irrigation on winter canola yield and yield gap in Southwest China","21st International Congress on Modelling and Simulation (Modsim2015)",NA,NA
"Climate change, weather variability and corn yield at a higher latitude locale: Southwestern Quebec","Climatic Change",NA,"10.1007/s10584-008-9408-y"
"Climate change and vunerability of fish farmers in Southwestern Nigeria","African Journal of Agricultural Research",NA,NA
"Climate Change Impacts on Maize-yield Potential in the Southwestern United States","Agriculture and Climate Change - Adapting Crops to Increased Uncertainty (Agri 2015)",NA,"10.1016/j.proenv.2015.07.210"
"Very long winter dry spells in the Mediterranean basin: spatio-temporal variability and impact on cereal production in Spain","Cybergeo-European Journal of Geography",NA,"10.4000/cybergeo.29156"
"The impact of changing climate on perennial crops: the case of tea production in Sri Lanka","Climatic Change",NA,"10.1007/s10584-016-1882-z"
"Impact of extreme weather events on coconut productivity in three climatic zones of Sri Lanka","European Journal of Agronomy",NA,"10.1016/j.eja.2018.03.001"
"Analysis of climate signals in the crop yield record of sub-Saharan Africa","Global Change Biology",NA,"10.1111/gcb.13901"
"Monitoring and Assessment of Drought Focused on Its Impact on Sorghum Yield over Sudan by Using Meteorological Drought Indices for the Period 2001-2011","Remote Sensing",NA,"10.3390/rs10081231"
"Climate variability and crop production in Tanzania","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2010.12.002"
"El Nino Southern Oscillation Effects on Dryland Crop Production in the Texas High Plains","Agronomy Journal",NA,"10.2134/agronj2015.0403"
"Effect of climate warming on maize production in Timor-Leste: interaction with nitrogen supply","Crop & Pasture Science",NA,"10.1071/CP15078"
"Effect of Climatic and Non-Climatic Factors on Cassava Yields in Togo: Agricultural Policy Implications","Climate",NA,"10.3390/cli5020028"
"Long-Run Versus Short-Run Analysis of Climate Change Impacts on Agricultural Crops","Environmental Modeling & Assessment",NA,"10.1007/s10666-014-9432-4"
"Impact of Climate Change on Date Production in Tunisia","Environmental Modeling & Assessment",NA,"10.1007/s10666-018-9604-8"
"Impacts of climate change on cereal farming in Tunisia: a panel ARDL-PMG approach","Environmental Science and Pollution Research",NA,"10.1007/s11356-019-04867-y"
"Direct and indirect effects of climate on agriculture: an application of a spatial panel data analysis to Tunisia","Climatic Change",NA,"10.1007/s10584-015-1458-3"
"Impacts of Climate Change on Agriculture Sector in Turkey","Eskisehir Osmangazi Universitesi Iibf Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences",NA,NA
"Do we need more drought for better nutrition? The effect of precipitation on nutrient concentration in East African food crops","Science of the Total Environment",NA,"10.1016/j.scitotenv.2018.12.181"
"Impacts of changing climate and agronomic factors on fusarium ear blight of wheat in the UK","Fungal Ecology",NA,"10.1016/j.funeco.2011.03.003"
"Monitoring Droughts and Impacts on Crop Yield in Ukraine from Weather and Satellite Data","Use of Satellite and in-Situ Data to Improve Sustainability",NA,"10.1007/978-90-481-9618-0_1"
"Regional analysis of climate variability at three time scales and its effect on rainfed maize production in the Upper Lerma River Basin, Mexico","Agriculture Ecosystems & Environment",NA,"10.1016/j.agee.2016.03.041"
"Measuring the initial economic effects of hurricanes on commercial fish production: the US Gulf of Mexico grouper (Serranidae) fishery","Natural Hazards",NA,"10.1007/s11069-012-0476-y"
"The impact of climate extremes and irrigation on US crop yields","Environmental Research Letters",NA,"10.1088/1748-9326/10/5/054013"
"The Role of Climate Covariability on Crop Yields in the Conterminous United States","Scientific Reports",NA,"10.1038/srep33160"
"Characterizing agricultural impacts of recent large-scale US droughts and changing technology and management","Agricultural Systems",NA,"10.1016/j.agsy.2017.07.012"
"The effect of El Nio Southern Oscillation on US corn production and downside risk","Climatic Change",NA,"10.1007/s10584-013-0918-x"
"Climate-induced reduction in US-wide soybean yields underpinned by region- and in-season-specific responses","Nature Plants",NA,"10.1038/NPLANTS.2014.26"
"Climate variability in areas of the world with high production of soya beans and corn: its relationship to crop yields","Meteorological Applications",NA,"10.1002/met.270"
"Dependency of Crop Production between Global Breadbaskets: A Copula Approach for the Assessment of Global and Regional Risk Pools","Risk Analysis",NA,"10.1111/risa.12761"
"Impacts of temperature and precipitation variability intheNorthern Plains of the United States and Canada ontheproductivity of spring barley and oat","International Journal of Climatology",NA,"10.1002/joc.3877"
"Recent Weather Extremes and Impacts on Agricultural Production and Vector-Borne Disease Outbreak Patterns","Plos One",NA,"10.1371/journal.pone.0092538"
"A study on impact of climate change on rice production in Faizabad district of Uttar Pradesh","Mausam",NA,NA
"Assessment of climate change impact on pulse, oilseed and vegetable crops at Varanasi, India","Journal of Agrometeorology",NA,NA
"Estimation of damage to agriculture biomass due to Hudhud cyclone and carbon stock assessment in cyclone affected areas using Landsat-8","Geocarto International",NA,"10.1080/10106049.2016.1161079"
"Climate variability impacts on rainfed cereal yields in west and northwest Iran","International Journal of Biometeorology",NA,"10.1007/s00484-017-1336-y"
"Study on maize production under changed climatic scenarios in western Himalaya of India","Mausam",NA,NA
"Changes in rainfed and irrigated crop yield response to climate in the western US","Environmental Research Letters",NA,"10.1088/1748-9326/aac4b1"
"Assessment of rice yield loss due to torrential rain: a case study of Yuhang County, Zhejiang Province, China","Natural Hazards",NA,"10.1007/s11069-011-0013-4"
"Regional droughts and food security relationships in the Zambezi River Basin","Physics and Chemistry of the Earth",NA,"10.1016/j.pce.2011.08.003"
"Impact of heat stress on health and performance of dairy animals: A review","Veterinary World",NA,"10.14202/vetworld.2016.260-268"
"Global warming: Impact, adaptation and amelioration strategies for bovine under tropical climatic conditions","Indian Journal of Animal Sciences",NA,NA
"Simulating the impact of extreme heat and frost events on wheat crop production: A review","Field Crops Research",NA,"10.1016/j.fcr.2014.11.010"
"ENSO classification indices and summer crop yields in the Southeastern USA","Agricultural and Forest Meteorology",NA,"10.1016/j.agrformet.2011.01.017"
"Effects of climate variability and climate change on crop production in southern Mali","European Journal of Agronomy",NA,"10.1016/j.eja.2013.04.004"
